ID объекта;Район;Тип планировки;Количество комнат;Первый/Последний этаж;Общая площадь (м2);Жилая площадь (м2);Площадь кухни (м2);Наличие агенства;Состояние;Стоимость (т.руб.)
297;Ленинский;сталинка;1;ИСТИНА;34;19;5;ЛОЖЬ;4;1080
298;Ленинский;хрущевка;1;ИСТИНА;33;19;6;ИСТИНА;3;900
300;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;32;17;7;ИСТИНА;3;980
302;Правобережный;сталинка;1;ИСТИНА;30;17;6;ЛОЖЬ;3;900
305;Правобережный;сталинка;1;ЛОЖЬ;30;17;6;ИСТИНА;3;920
306;Ленинский;брежневка;1;ЛОЖЬ;31;18;6;ИСТИНА;4;920
307;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;33;17;9;ЛОЖЬ;3;1130
308;Правобережный;брежневка;1;ЛОЖЬ;31;17;6;ИСТИНА;3;1100
313;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;43;20;11;ЛОЖЬ;4;1440
314;Орджоникидзевский;сталинка;1;ЛОЖЬ;30;17;6;ЛОЖЬ;3;880
316;Ленинский;брежневка;1;ИСТИНА;30;18;6;ЛОЖЬ;3;980
319;Правобережный;сталинка;1;ИСТИНА;22;12;6;ИСТИНА;3;840
322;Правобережный;хрущевка;1;ЛОЖЬ;33;19;6;ЛОЖЬ;3;980
323;Правобережный;хрущевка;1;ИСТИНА;31;20;6;ИСТИНА;3;980
324;Орджоникидзевский;Нестандартная;1;ИСТИНА;32;19;8;ИСТИНА;4;1100
331;Орджоникидзевский;Нестандартная;1;ИСТИНА;43;17;10;ЛОЖЬ;4;1170
336;Орджоникидзевский;сталинка;1;ЛОЖЬ;30;18;6;ЛОЖЬ;4;980
338;Правобережный;хрущевка;1;ЛОЖЬ;31;17;6;ИСТИНА;4;1050
340;Ленинский;сталинка;1;ЛОЖЬ;34;19;8;ЛОЖЬ;5;1400
341;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;35;18;9;ИСТИНА;4;1150
342;Правобережный;брежневка;1;ЛОЖЬ;32;17;7;ЛОЖЬ;4;1150
343;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;43;18;9;ИСТИНА;4;1310
344;Правобережный;сталинка;1;ИСТИНА;21;12;6;ИСТИНА;3;840
345;Ленинский;сталинка;1;ЛОЖЬ;37;20;8;ЛОЖЬ;3;1350
348;Орджоникидзевский;Нестандартная;1;ИСТИНА;50;25;10;ЛОЖЬ;3;1520
352;Ленинский;сталинка;1;ЛОЖЬ;40;18;10;ИСТИНА;3;1200
353;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;45;22;11;ЛОЖЬ;4;1320
354;Орджоникидзевский;Нестандартная;1;ИСТИНА;51;26;13;ИСТИНА;4;1400
356;Правобережный;Улучшенная;1;ЛОЖЬ;32;17;7;ИСТИНА;3;1100
357;Орджоникидзевский;свердловский вариант;1;ЛОЖЬ;34;18;9;ЛОЖЬ;4;1150
360;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;46;20;12;ЛОЖЬ;5;1400
361;Ленинский;хрущевка;1;ИСТИНА;33;19;6;ЛОЖЬ;4;890
362;Ленинский;хрущевка;1;ЛОЖЬ;30;18;6;ЛОЖЬ;3;950
364;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;48;20;10;ИСТИНА;4;1350
366;Ленинский;хрущевка;1;ЛОЖЬ;31;19;6;ЛОЖЬ;4;1100
378;Правобережный;Улучшенная;1;ЛОЖЬ;32;17;8;ЛОЖЬ;3;1050
379;Правобережный;хрущевка;1;ЛОЖЬ;32;18;6;ЛОЖЬ;4;1050
390;Правобережный;брежневка;1;ИСТИНА;30;17;7;ЛОЖЬ;3;1050
393;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;43;17;12;ЛОЖЬ;4;1200
396;Ленинский;хрущевка;1;ИСТИНА;31;18;6;ЛОЖЬ;4;970
400;Ленинский;хрущевка;1;ЛОЖЬ;33;18;6;ЛОЖЬ;3;1020
404;Правобережный;хрущевка;1;ИСТИНА;32;18;6;ИСТИНА;2;930
412;Правобережный;сталинка;1;ИСТИНА;25;12;6;ЛОЖЬ;5;850
413;Ленинский;сталинка;1;ИСТИНА;34;19;5;ЛОЖЬ;4;1080
415;Правобережный;сталинка;1;ИСТИНА;30;17;6;ЛОЖЬ;3;900
417;Ленинский;хрущевка;1;ИСТИНА;33;19;6;ИСТИНА;4;920
418;Орджоникидзевский;свердловский вариант;1;ЛОЖЬ;35;18;8;ЛОЖЬ;5;1300
419;Ленинский;сталинка;1;ИСТИНА;33;20;5;ЛОЖЬ;4;1030
425;Орджоникидзевский;Улучшенная;1;ИСТИНА;33;18;9;ЛОЖЬ;4;1180
427;Ленинский;хрущевка;1;ЛОЖЬ;31;19;6;ЛОЖЬ;3;940
434;Правобережный;хрущевка;1;ЛОЖЬ;30;19;6;ЛОЖЬ;5;1100
435;Орджоникидзевский;свердловский вариант;1;ИСТИНА;36;18;9;ЛОЖЬ;4;1100
437;Правобережный;сталинка;1;ИСТИНА;22;12;6;ЛОЖЬ;4;850
445;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;60;21;19;ЛОЖЬ;5;1960
448;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;45;22;11;ЛОЖЬ;4;1320
454;Правобережный;хрущевка;1;ЛОЖЬ;32;20;6;ЛОЖЬ;4;1000
459;Ленинский;сталинка;1;ИСТИНА;36;19;9;ЛОЖЬ;4;1070
461;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;45;22;11;ЛОЖЬ;3;1320
462;Орджоникидзевский;Улучшенная;1;ИСТИНА;47;21;12;ЛОЖЬ;2;1290
467;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;34;17;9;ЛОЖЬ;3;1320
468;Правобережный;брежневка;1;ЛОЖЬ;32;17;7;ЛОЖЬ;4;1150
469;Орджоникидзевский;сталинка;1;ЛОЖЬ;24;14;6;ЛОЖЬ;3;910
470;Правобережный;брежневка;1;ИСТИНА;30;17;6;ИСТИНА;3;1050
474;Ленинский;брежневка;1;ИСТИНА;33;17;8;ЛОЖЬ;4;900
475;Правобережный;брежневка;1;ЛОЖЬ;32;17;7;ЛОЖЬ;4;1150
486;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;48;20;10;ЛОЖЬ;3;1350
487;Ленинский;хрущевка;1;ИСТИНА;31;18;6;ЛОЖЬ;4;970
488;Правобережный;хрущевка;1;ЛОЖЬ;30;19;6;ЛОЖЬ;5;1100
489;Ленинский;Нестандартная;1;ЛОЖЬ;33;18;8;ЛОЖЬ;5;1270
492;Ленинский;сталинка;1;ИСТИНА;37;20;9;ИСТИНА;4;1350
494;Ленинский;сталинка;1;ИСТИНА;32;18;7;ЛОЖЬ;4;1050
